35,2,1020.55,455.62,67.97,31.06,0.85,-1,-1,-1
35,1,1298.09,542.79,417.28,220.50,0.92,-1,-1,-1
36,3,1711.81,552.61,195.11,119.17,0.89,-1,-1,-1
36,2,1016.79,455.17,66.35,30.62,0.85,-1,-1,-1
36,1,1298.22,543.61,418.54,222.52,0.91,-1,-1,-1
37,3,1690.97,550.03,215.49,116.56,0.88,-1,-1,-1
37,2,1012.56,454.54,65.42,30.46,0.82,-1,-1,-1
37,1,1302.44,545.09,417.81,225.56,0.91,-1,-1,-1
38,3,1670.25,545.42,236.13,115.83,0.88,-1,-1,-1
38,2,1009.22,453.98,64.84,30.00,0.80,-1,-1,-1
38,1,1306.07,545.89,417.53,228.49,0.91,-1,-1,-1
39,3,1649.33,538.86,256.83,116.04,0.88,-1,-1,-1
39,2,1005.28,453.81,63.59,29.38,0.80,-1,-1,-1
39,1,1308.77,545.56,418.29,230.31,0.91,-1,-1,-1
40,3,1626.27,533.66,273.74,115.52,0.89,-1,-1,-1
40,1,1312.10,545.14,419.22,232.00,0.91,-1,-1,-1
41,3,1600.96,525.55,284.51,116.94,0.88,-1,-1,-1
41,1,1314.76,544.89,419.92,231.97,0.91,-1,-1,-1
42,3,1578.21,522.84,287.57,115.24,0.88,-1,-1,-1
42,1,1316.86,544.78,421.47,232.56,0.91,-1,-1,-1
43,3,1556.13,521.98,287.08,110.86,0.88,-1,-1,-1
43,1,1318.90,544.98,423.44,232.90,0.90,-1,-1,-1
44,3,1534.80,518.69,285.19,107.92,0.89,-1,-1,-1
44,1,1319.90,545.59,425.51,233.69,0.90,-1,-1,-1
45,3,1515.48,516.89,281.53,104.61,0.89,-1,-1,-1
45,1,1321.85,546.23,426.15,233.81,0.91,-1,-1,-1
46,3,1494.79,514.20,277.65,102.67,0.87,-1,-1,-1
46,1,1323.40,546.14,428.34,234.52,0.90,-1,-1,-1
47,3,1479.74,511.79,271.94,99.89,0.87,-1,-1,-1
47,1,1324.38,546.67,430.79,236.14,0.91,-1,-1,-1
48,3,1463.16,509.72,264.88,97.65,0.86,-1,-1,-1
48,1,1325.17,546.81,432.92,236.84,0.91,-1,-1,-1
49,3,1447.96,507.82,257.15,94.55,0.88,-1,-1,-1
49,1,1326.33,546.65,434.51,237.64,0.91,-1,-1,-1
50,3,1433.13,506.66,250.16,91.50,0.88,-1,-1,-1
50,1,1327.11,547.69,436.06,237.55,0.90,-1,-1,-1
51,3,1418.60,506.03,243.65,88.70,0.87,-1,-1,-1
51,1,1329.05,549.14,436.74,237.32,0.89,-1,-1,-1
52,4,1779.43,537.30,130.11,112.93,0.70,-1,-1,-1
52,3,1404.91,504.78,237.00,85.59,0.87,-1,-1,-1
52,1,1330.81,550.63,437.39,236.98,0.89,-1,-1,-1
53,4,1747.07,528.97,159.67,116.85,0.79,-1,-1,-1
53,3,1391.15,503.32,228.69,82.59,0.87,-1,-1,-1
53,1,1332.29,551.72,437.93,236.71,0.89,-1,-1,-1
